"filename", "language", "Python", "Batch", "Markdown", "TypeScript", "JSON with Comments", "JavaScript", "Ini", "HTML", "JSON", "pip requirements", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\黄锦意\Desktop\demo02\PPT_docs\ai_ppt_evidence_summary.md", "Markdown", 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 440
"c:\Users\黄锦意\Desktop\demo02\README.md", "Markdown", 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 258
"c:\Users\黄锦意\Desktop\demo02\backend\api\routes_battles.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 110
"c:\Users\黄锦意\Desktop\demo02\backend\api\routes_companion_events.py", "Python", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42, 196
"c:\Users\黄锦意\Desktop\demo02\backend\api\routes_dice_poker.py", "Python", 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 71, 370
"c:\Users\黄锦意\Desktop\demo02\backend\api\routes_dnd.py", "Python", 965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 177, 1174
"c:\Users\黄锦意\Desktop\demo02\backend\api\routes_tavern_dice_poker.py", "Python", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 77, 343
"c:\Users\黄锦意\Desktop\demo02\backend\config.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 84
"c:\Users\黄锦意\Desktop\demo02\backend\content\core\__init__.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\黄锦意\Desktop\demo02\backend\content\core\content_pack.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\黄锦意\Desktop\demo02\backend\content\core\content_registry.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22
"c:\Users\黄锦意\Desktop\demo02\backend\content\packs\base\__init__.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\黄锦意\Desktop\demo02\backend\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\黄锦意\Desktop\demo02\backend\core\ai_schemas.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 48
"c:\Users\黄锦意\Desktop\demo02\backend\core\battle_schemas.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"c:\Users\黄锦意\Desktop\demo02\backend\core\context\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\黄锦意\Desktop\demo02\backend\core\context\context_budget.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"c:\Users\黄锦意\Desktop\demo02\backend\core\context\scene_summary.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 60
"c:\Users\黄锦意\Desktop\demo02\backend\core\debug\__init__.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\黄锦意\Desktop\demo02\backend\core\debug\debug_trace.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"c:\Users\黄锦意\Desktop\demo02\backend\core\debug\state_diff.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"c:\Users\黄锦意\Desktop\demo02\backend\core\events\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\黄锦意\Desktop\demo02\backend\core\events\schemas.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 47
